"key","message","comment","context"
"Account","Compte",,
"Accounting","Comptabilité",,
"Code",,,
"Contact",,,
"Contacts",,,
"Credit",,,
"Data",,,
"Dates",,,
"Debit",,,
"Documents",,,
"Estimated invoice date","Date de facturation estimée",,
"Full name",,,
"Generate invoice",,,
"Invoice",,,
"Invoice created!",,,
"Move","Écriture",,
"Move line","Ligne d'écriture",,
"Move lines","Lignes d'écriture",,
"Name",,,
"Operation date","Date de l'opération",,
"Overview",,,
"Product",,,
"Products",,,
"Reference",,,
"Sale Order",,,
"Sale Orders",,,
"Teamwork",,,
"mainPanel",,,
