"key","message","comment","context"
"ACCEPTED","Accepté",,
"Address","Adresse",,
"Addresses","Adresses",,
"Apply taxes","Appliquer les taxes",,
"Archived",,,
"CANCELLED","Annulé",,
"City","Ville",,
"Code",,,
"Configuration",,,
"Contact",,,
"Contacts",,,
"Countries","Pays",,
"Country","Pays",,
"Customer sale order",,,
"DRAFT","Brouillon",,
"Date of birth","Date de naissance",,
"Dates are incorrect",,,
"Email",,,
"End date","Date fin",,
"Event","Évènement",,
"Events","Évènements",,
"FINISHED","Fini",,
"Family members",,,
"First name","Prénom",,
"Full name","Nom complet",,
"Last name","Nom",,
"MEETING","Rendez-vous",,
"MISSING_CONTACT","Rendez-vous",,
"Name","Nom",,
"Notes",,,
"N° / Street","Numéro de voie",,
"OTHER","Autre",,
"Other Informations",,,
"PHONE_CALL","Appel téléphonique",,
"POSTPONED","Reporté",,
"PROPOSED","Proposé",,
"Phone number","Téléphone",,
"Planned for","Planifié pour",,
"Profile","Profile",,
"Profile picture","Photo de profile",,
"REFUSED","Refusé",,
"Related sale order details","Détails de commande liés",,
"Should be > to 1930","Doit être supérieur à 1930",,
"Start date","Date début",,
"Status","Statut",,
"Title","Titre",,
"Titles","Titles",,
"Type",,,
"User created!",,,
"Zip",,,
"mainPanel",,,
