key,message,comment,context
All sale orders,Toutes les commandes de vente,,
Cancel Order,Annuler,,
Cancelled,Annulée,,
Cancelled lines,Lignes annulées,,
Cancelling the order is definitive! Do you want to continue?,L'annulation de la commande est définitive ! Voulez-vous continuer?,,
Code,,,
Configuration,,,
Confirm Quotation,,,
Confirmation date,Date de confirmation,,
Confirmed,Confirmée,,
Confirmed lines,Lignes confirmées,,
Customer,Client,,
Data,Données,,
Dates,,,
Description,,,
Draft,Brouillon,,
Draft lines,Lignes brouillons,,
Export,,,
Finalize Quotation,Finaliser,,
Full name,Nom complet,,
Icon,,,
Icon select,,,
Image,,,
Name,Nom,,
PRESTATION,,,
PRODUCT,,,
Please fill at least one sale order line.,Veuillez remplir au moins une ligne de commande.,,
Please fill the form first,,,
Please select at least one line,Veuillez sélectionner au moins une ligne,,
Price,Prix,,
Prodcut categories tree,,,
Product,Produit,,
Product Categories,,,
Product Category,,,
Product categories,Catégories,,
Product categories tree,Arbre de catégories,,
Product category,Catégorie,,
Products,,,
Quantity,Quantité,,
Quotation,Devis,,
Quotation date,Date de devis,,
Quotation lines,Lignes de devis,,
Quotation sale orders,Devis de vente,,
Sale,Vente,,
Sale Orders,,,
Sale order,Commande de vente,,
Sale order line,Ligne de commande,,
Sale order lines,Lignes de commande de vente,,
Sale order status select,,,
Sequence,Séquence,,
Status,Statut,,
Status select filter,,,
Tax rate,Taux de taxe,,
There is a detail line with 0 total price. Please correct it.,Il existe une ligne de détail avec un prix total de zéro. Corrigez cela s'il-vous-plaît.,,
Total with tax,TTC,,
Total without tax,HT,,
Unit price untaxed,Prix unitaire HT,,
mainPanel,,,
